An  | Sy | Name          | Am          | HexColor |  Eg   | Ar  | Ie     | Ea    | Ss      | Mp      | Bp     | De         | Gb                     | YD
1   | H  | Hydrogen      | 1.0080      | #FFFFFF  |  2.2  | 120 | 13.598 | 0.754 | Gas     | 13.81   | 20.28  | 0.00008988 | Nonmetal               | 1766
2   | He | Helium        | 4.00260     | #D9FFFF  |       | 140 | 24.587 |       | Gas     | 0.95    | 4.22   | 0.0001785  | Noble gas              | 1868
3   | Li | Lithium       | 7.0         | #CC80FF  | 0.98 | 182 | 5.392  | 0.618 | Solid   | 453.65  | 1615   | 0.534      | Alkali metal           | 1817
4   | Be | Beryllium     | 9.012183    | #C2FF00  | 1.57 | 153 | 9.323  |       | Solid   | 1560    | 2744   | 1.85       | Alkaline earth metal   | 1798
5   | B  | Boron         | 10.81       | #FFB5B5  | 2.04 | 192 | 8.298  | 0.277 | Solid   | 2348    | 4273   | 2.37       | Metalloid              | 1808
6   | C  | Carbon        | 12.011      | #909090  | 2.55 | 170 | 11.260 | 1.263 | Solid   | 3823    | 4098   | 2.2670     | Nonmetal               | Ancient
7   | N  | Nitrogen      | 14.007      | #3050F8  | 3.04 | 155 | 14.534 |       | Gas     | 63.15   | 77.36  | 0.0012506  | Nonmetal               | 1772
8   | O  | Oxygen        | 15.999      | #FF0D0D  | 3.44 | 152 | 13.618 | 1.461 | Gas     | 54.36   | 90.2   | 0.001429   | Nonmetal               | 1774
9   | F  | Fluorine      | 18.99840316 | #90E050  | 3.98 | 135 | 17.423 | 3.339 | Gas     | 53.53   | 85.03  | 0.001696   | Halogen                | 1670
10  | Ne | Neon          | 20.180      | #B3E3F5  |      | 154 | 21.565 |       | Gas     | 24.56   | 27.07  | 0.0008999  | Noble gas              | 1898
11  | Na | Sodium        | 22.9897693  | #AB5CF2  | 0.93 | 227 | 5.139  | 0.548 | Solid   | 370.95  | 1156   | 0.97       | Alkali metal           | 1807
12  | Mg | Magnesium     | 24.305      | #8AFF00  | 1.31 | 173 | 7.646  |       | Solid   | 923     | 1363   | 1.74       | Alkaline earth metal   | 1808
13  | Al | Aluminum      | 26.981538   | #BFA6A6  | 1.61 | 184 | 5.986  | 0.441 | Solid   | 933.437 | 2792   | 2.70       | Post-transition metal  | Ancient
14  | Si | Silicon       | 28.085      | #F0C8A0  | 1.9  | 210 | 8.152  | 1.385 | Solid   | 1687    | 3538   | 2.3296     | Metalloid              | 1854
15  | P  | Phosphorus    | 30.97376200 | #FF8000  | 2.19 | 180 | 10.487 | 0.746 | Solid   | 317.3   | 553.65 | 1.82       | Nonmetal               | 1669
16  | S  | Sulfur        | 32.07       | #FFFF30  | 2.58 | 180 | 10.360 | 2.077 | Solid   | 388.36  | 717.75 | 2.067      | Nonmetal               | Ancient
17  | Cl | Chlorine      | 35.45       | #1FF01F  | 3.16 | 175 | 12.968 | 3.617 | Gas     | 171.65  | 239.11 | 0.003214   | Halogen                | 1774
18  | Ar | Argon         | 39.9        | #80D1E3  |      | 188 | 15.760 |       | Gas     | 83.8    | 87.3   | 0.0017837  | Noble gas              | 1894
19  | K  | Potassium     | 39.0983     | #8F40D4  | 0.82 | 275 | 4.341  | 0.501 | Solid   | 336.53  | 1032   | 0.89       | Alkali metal           | 1807
20  | Ca | Calcium       | 40.08       | #3DFF00  | 1    | 231 | 6.113  |       | Solid   | 1115    | 1757   | 1.54       | Alkaline earth metal   | Ancient
21  | Sc | Scandium      | 44.95591    | #E6E6E6  | 1.36 | 211 | 6.561  | 0.188 | Solid   | 1814    | 3109   | 2.99       | Transition metal       | 1879
22  | Ti | Titanium      | 47.867      | #BFC2C7  | 1.54 | 187 | 6.828  | 0.079 | Solid   | 1941    | 3560   | 4.5        | Transition metal       | 1791
23  | V  | Vanadium      | 50.9415     | #A6A6AB  | 1.63 | 179 | 6.746  | 0.525 | Solid   | 2183    | 3680   | 6.0        | Transition metal       | 1801
24  | Cr | Chromium      | 51.996      | #8A99C7  | 1.66 | 189 | 6.767  | 0.666 | Solid   | 2180    | 2944   | 7.15       | Transition metal       | 1797
25  | Mn | Manganese     | 54.93804    | #9C7AC7  | 1.55 | 197 | 7.434  |       | Solid   | 1519    | 2334   | 7.3        | Transition metal       | 1774
26  | Fe | Iron          | 55.84       | #E06633  | 1.83 | 194 | 7.902  | 0.163 | Solid   | 1811    | 3134   | 7.874      | Transition metal       | Ancient
27  | Co | Cobalt        | 58.93319    | #F090A0  | 1.88 | 192 | 7.881  | 0.661 | Solid   | 1768    | 3200   | 8.86       | Transition metal       | 1735
28  | Ni | Nickel        | 58.693      | #50D050  | 1.91 | 163 | 7.640  | 1.156 | Solid   | 1728    | 3186   | 8.912      | Transition metal       | 1751
29  | Cu | Copper        | 63.55       | #C88033  | 1.9  | 140 | 7.726  | 1.228 | Solid   | 1357.77 | 2835   | 8.933      | Transition metal       | Ancient
30  | Zn | Zinc          | 65.4        | #7D80B0  | 1.65 | 139 | 9.394  |       | Solid   | 692.68  | 1180   | 7.134      | Transition metal       | 1746
31  | Ga | Gallium       | 69.723      | #C28F8F  | 1.81 | 187 | 5.999  | 0.3   | Solid   | 302.91  | 2477   | 5.91       | Post-transition metal  | 1875
32  | Ge | Germanium     | 72.63       | #668F8F  | 2.01 | 211 | 7.900  | 1.35  | Solid   | 1211.4  | 3106   | 5.323      | Metalloid              | 1886
33  | As | Arsenic       | 74.92159    | #BD80E3  | 2.18 | 185 | 9.815  | 0.81  | Solid   | 1090    | 887    | 5.776      | Metalloid              | Ancient
34  | Se | Selenium      | 78.97       | #FFA100  | 2.55 | 190 | 9.752  | 2.021 | Solid   | 493.65  | 958    | 4.809      | Nonmetal               | 1817
35  | Br | Bromine       | 79.90       | #A62929  | 2.96 | 183 | 11.814 | 3.365 | Liquid  | 265.95  | 331.95 | 3.11       | Halogen                | 1826
36  | Kr | Krypton       | 83.80       | #5CB8D1  | 3    | 202 | 14.000 |       | Gas     | 115.79  | 119.93 | 0.003733   | Noble gas              | 1898
37  | Rb | Rubidium      | 85.468      | #702EB0  | 0.82 | 303 | 4.177  | 0.468 | Solid   | 312.46  | 961    | 1.53       | Alkali metal           | 1861
38  | Sr | Strontium     | 87.62       | #00FF00  | 0.95 | 249 | 5.695  |       | Solid   | 1050    | 1655   | 2.64       | Alkaline earth metal   | 1790
39  | Y  | Yttrium       | 88.90584    | #94FFFF  | 1.22 | 219 | 6.217  | 0.307 | Solid   | 1795    | 3618   | 4.47       | Transition metal       | 1794
40  | Zr | Zirconium     | 91.22       | #94E0E0  | 1.33 | 186 | 6.634  | 0.426 | Solid   | 2128    | 4682   | 6.52       | Transition metal       | 1789
